id,Year,County,Household Income,Population,White,Black,American Indian,Asian,Native Hawaiian,Hispanic,Median Age,Per Capita Income,Poverty Count,Poverty Rate,Non Educated
1,2012,WINDHAM ,58489.0,118046.0,108037.0,2233.0,337.0,1420.0,44.0,11332.0,39.4,27456.0,13303.0,11.269335682699964,865.0
2,2012,MIDDLESEX ,76659.0,165639.0,147872.0,7618.0,126.0,4430.0,82.0,7968.0,43.0,39776.0,9517.0,5.74562753940799,703.0
3,2012,NEW HAVEN ,62234.0,860995.0,649827.0,107283.0,2188.0,30743.0,416.0,129612.0,39.1,32487.0,100343.0,11.654306935580346,6236.0
4,2012,LITCHFIELD ,71345.0,189277.0,178558.0,2229.0,507.0,3099.0,8.0,8575.0,44.4,37410.0,11472.0,6.060958278079217,871.0
5,2012,HARTFORD ,64752.0,893504.0,654726.0,117181.0,2327.0,38823.0,397.0,137155.0,39.9,34356.0,99425.0,11.127538321037175,6892.0
6,2012,NEW LONDON ,68310.0,273723.0,226453.0,14834.0,1472.0,11859.0,188.0,23331.0,40.3,33968.0,21286.0,7.776474757327663,1694.0
7,2012,TOLLAND ,80887.0,152137.0,136874.0,4411.0,135.0,5101.0,14.0,6655.0,38.3,34468.0,9607.0,6.31470319514648,429.0
8,2012,FAIRFIELD ,82614.0,918892.0,699870.0,99871.0,1439.0,42880.0,323.0,155557.0,39.5,48900.0,79663.0,8.669462787792254,5872.0
9,2013,NEW HAVEN ,61996.0,862611.0,649673.0,108359.0,2255.0,31436.0,391.0,134072.0,39.4,32523.0,103599.0,12.00993263475657,6412.0
10,2013,LITCHFIELD ,71338.0,188629.0,177287.0,2331.0,333.0,3331.0,0.0,8954.0,44.9,37667.0,11970.0,6.345789883846068,867.0
11,2013,HARTFORD ,64967.0,895827.0,652952.0,118531.0,2036.0,40196.0,375.0,141471.0,40.0,34698.0,100947.0,11.268581991835477,6945.0
12,2013,NEW LONDON ,66583.0,274090.0,225906.0,15242.0,1626.0,11882.0,148.0,24425.0,40.5,33782.0,22772.0,8.308219927760954,1500.0
13,2013,TOLLAND ,80529.0,152366.0,136835.0,4624.0,130.0,5367.0,15.0,6924.0,38.0,34392.0,8950.0,5.874013887612722,467.0
14,2013,FAIRFIELD ,82283.0,926233.0,694586.0,102414.0,1817.0,43734.0,298.0,161055.0,39.7,48721.0,82958.0,8.956493668439798,5863.0
15,2013,WINDHAM ,59333.0,118115.0,107826.0,2373.0,482.0,1332.0,23.0,11712.0,39.7,27893.0,12945.0,10.95965796046226,836.0
16,2013,MIDDLESEX ,76994.0,165690.0,147489.0,7794.0,91.0,4431.0,54.0,8326.0,43.4,39992.0,10207.0,6.160299354215704,710.0
17,2014,WINDHAM ,59218.0,117918.0,107534.0,2592.0,349.0,1427.0,48.0,12070.0,40.2,28044.0,12946.0,10.978815787241981,762.0
18,2014,MIDDLESEX ,77931.0,165534.0,147394.0,8048.0,208.0,4527.0,44.0,8726.0,43.9,40589.0,11022.0,6.6584508318532745,696.0
19,2014,NEW HAVEN ,61646.0,863148.0,649232.0,109755.0,1692.0,32080.0,214.0,137844.0,39.6,32794.0,106282.0,12.313299689045216,6798.0
20,2014,LITCHFIELD ,72068.0,187542.0,175327.0,2959.0,275.0,3343.0,0.0,9297.0,45.4,37696.0,12633.0,6.736091115590108,922.0
21,2014,HARTFORD ,65499.0,897374.0,653648.0,119274.0,1900.0,41814.0,406.0,145270.0,40.0,35307.0,105547.0,11.761762654144203,7207.0
22,2014,NEW LONDON ,66693.0,274071.0,224950.0,15500.0,1546.0,11690.0,144.0,25384.0,40.6,34241.0,23856.0,8.704313845682323,1625.0
23,2014,TOLLAND ,79988.0,152251.0,136545.0,4511.0,70.0,5401.0,8.0,7157.0,38.3,35022.0,8957.0,5.883048387202711,514.0
24,2014,FAIRFIELD ,83163.0,934215.0,694475.0,103232.0,1996.0,45560.0,241.0,167047.0,39.6,49688.0,83497.0,8.937664242171234,5598.0
25,2015,NEW HAVEN ,61640.0,862224.0,646775.0,110719.0,1785.0,33587.0,143.0,141282.0,39.8,32852.0,108533.0,12.58756425244484,7135.0
26,2015,LITCHFIELD ,72061.0,186304.0,174220.0,2827.0,341.0,3370.0,6.0,9649.0,46.0,38530.0,12893.0,6.920409653040192,995.0
