Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Rate,Unemployment Rate,Uneducated Rate,White Population Rate,Black Population Rate,Hispanic Population Rate,Asian Population Rate,City,County,Lat,Lng,State
6001,18410.0,45.1,110439.0,61468.0,4.693101575230854,2.846279196089082,0.1955458989679522,90.80934274850624,1.0048886474741987,3.4166214014122764,5.855513307984791,Avon,Hartford County,41.79,-72.86,CT
6002,20470.0,46.8,71579.0,40761.0,8.319491939423546,5.989252564728871,0.5276013678553981,38.4513922813874,55.08549096238398,4.406448461162677,1.3141182217879823,Bloomfield,Hartford County,41.85,-72.74,CT
6010,60478.0,40.6,58860.0,30561.0,8.887529349515528,5.32094315288204,0.7754886074274943,88.23704487582262,3.743510036707563,9.477826647706603,1.9445087469823736,Bristol,Hartford County,41.68,-72.94,CT
6013,9317.0,42.7,106399.0,43173.0,3.6170441129118815,2.865729312010304,0.2790597831920146,97.5421272941934,1.2128367500268329,3.0159922721906187,0.6761833208114201,Burlington,Hartford County,41.76,-72.96,CT
6016,6332.0,40.9,73404.0,34141.0,5.022109917877448,7.406822488945041,0.2684775742261528,87.36576121288692,6.7435249526216055,5.022109917877448,2.4952621604548324,Broad Brook,Hartford County,41.91,-72.55,CT
6018,2690.0,46.1,43633.0,24969.0,10.631970260223046,6.654275092936803,0.1858736059479553,96.6542750929368,0.8178438661710037,5.799256505576206,2.5278810408921935,Canaan,Litchfield County,42.02,-73.3,CT
6019,10149.0,43.9,86682.0,43594.0,3.8821558774263485,3.2121391270075867,0.1773573751108483,97.76332643610209,0.0985318750615824,2.4534436890334024,0.4039806877524879,Canton,Hartford County,41.86,-72.91,CT
6021,345.0,47.7,55500.0,31050.0,2.608695652173913,3.188405797101449,0.0,100.0,0.0,4.057971014492754,0.0,Colebrook,Litchfield County,42.03,-73.1,CT
6022,94.0,34.7,63750.0,49694.0,0.0,0.0,0.0,71.27659574468085,0.0,0.0,28.723404255319146,Collinsville,Hartford County,41.82,-72.94,CT
6023,1004.0,43.9,99327.0,48680.0,0.49800796812749,4.8804780876494025,0.0,93.12749003984064,0.199203187250996,2.49003984063745,4.681274900398407,East Berlin,Hartford County,41.61,-72.72,CT
6024,768.0,52.0,49286.0,27781.0,6.119791666666668,1.0416666666666667,1.8229166666666667,96.35416666666669,3.6458333333333335,0.0,0.0,East Canaan,Litchfield County,42.02,-73.28,CT
6026,4929.0,43.2,73582.0,42503.0,3.0837898153783727,2.8200446337999594,0.5680665449381214,86.3664029214851,5.4169202678028,3.9967539054574974,5.802393994725096,East Granby,Hartford County,41.94,-72.74,CT
6027,1481.0,44.8,92750.0,37077.0,2.363268062120189,2.2957461174881835,0.6076975016880486,95.61107359891965,1.0128291694800808,0.33760972316002696,2.2957461174881835,East Hartland,Hartford County,42.0,-72.91,CT
6029,15466.0,40.0,85073.0,40362.0,2.715634294581663,3.5432561748351223,0.1616448984870037,96.60545713177292,0.5819216345532136,0.9763351868615028,1.7845596792965217,Ellington,Tolland County,41.91,-72.42,CT
6031,1273.0,45.9,68500.0,43504.0,5.655930871956008,3.4564021995286724,0.0,96.77926158680285,0.8641005498821681,2.4351924587588374,1.2568735271013354,Falls Village,Litchfield County,41.96,-73.32,CT
6032,17880.0,43.1,91893.0,54273.0,6.079418344519016,2.5,0.5592841163310962,87.23713646532438,1.7393736017897092,2.388143176733781,8.031319910514544,Farmington,Hartford County,41.73,-72.83,CT
6033,28563.0,42.9,105733.0,49763.0,2.1566362076812657,3.035395441655288,0.23106816510870698,85.02258166159018,3.8476350523404403,4.509330252424466,8.423484928053776,Glastonbury,Hartford County,41.7,-72.54,CT
6035,7697.0,45.7,86433.0,47295.0,1.6240093542938807,3.59880472911524,0.025984149668702005,96.32324282187864,0.8964531635702222,1.5200727556190723,1.455112381447317,Granby,Hartford County,41.96,-72.8,CT
6037,18970.0,44.6,85263.0,37883.0,6.694781233526621,4.243542435424353,0.2899314707432788,91.64470216130732,1.6657880864522931,3.2630469161834474,3.6162361623616235,Berlin,Hartford County,41.6,-72.78,CT
